ds,ndocs,ncats,dpcavg,dpcmed,dpcstd,dpcstdavg,dpcent,wpdavg,wpdmed,wpdstd,wpdstdavg,wpdent,pca10,pca20,pca30,diffwds
oh,2960.0,23.0,128.6957,90.0,122.4754,0.9517,3.0752,108.9791,106.0,42.0746,0.3861,5.0857,0.0373,0.0617,0.0812,0.3698
r8	,3069.0,8.0,383.625,121.0,528.3763,1.3773,2.0794,59.9345,41.0,62.9508,1.0503,4.8953,0.1571,0.2028,0.232,0.0836
r52,3637.0,48.0,75.7708,12.0,254.9289,3.3645,3.1604,61.6448,44.0,62.6094,1.0156,4.9387,0.1479,0.1937,0.2231,0.0816
RFJob,7152.0,2.0,3576.0,3576.0,3260.0,0.9116,0.6931,76.1218,65.0,66.8574,0.8783,5.1292,0.1174,0.154,0.181,0.3765
Rotten,62424.0,5.0,12484.8,11066.0,10436.043,0.8359,1.6094,3.8841,3.0,3.4511,0.8885,2.2011,0.0256,0.0417,0.0546,0.2412
sen_pol,4264.0,2.0,2132.0,2132.0,5.0,0.0023,0.6931,10.2554,10.0,4.6639,0.4548,2.9207,0.0245,0.0416,0.0561,0.2368
StOvQR,24000.0,3.0,8000.0,7957.0,71.6798,0.009,1.0986,84.4216,55.0,111.4805,1.3205,5.1968,0.0473,0.0723,0.0903,0.1748
TMACS,8388.0,2.0,4194.0,4194.0,735.0,0.1753,0.6931,95.189,93.0,36.7104,0.3857,4.9882,0.027,0.0431,0.0558,0.3842
TMAMt,8388.0,2.0,4194.0,4194.0,1972.0,0.4702,0.6931,95.189,93.0,36.7104,0.3857,4.9882,0.027,0.0431,0.0558,0.3842
TMASt,8388.0,2.0,4194.0,4194.0,2131.0,0.5081,0.6931,95.189,93.0,36.7104,0.3857,4.9882,0.027,0.0431,0.0558,0.3842
TripAd,8196.0,5.0,1639.2,865.0,1187.6249,0.7245,1.6094,99.0525,73.0,93.0582,0.9395,5.359,0.038,0.0579,0.0745,0.1526
wipo_l1,30100.0,114.0,264.0351,123.0,406.1436,1.5382,4.5933,63.9051,61.0,29.7637,0.4657,4.758,0.0333,0.0529,0.0687,0.3214
wipo_l2,29983.0,794.0,37.7620,13.0,66.3451,1.7569,4.1052,63.9233,61.0,29.7583,0.4655,4.7581,0.0333,0.0529,0.0688,0.3214
yelp,400.0,2.0,200.0,200.0,6.0,0.03,0.6931,5.535,5.0,3.0139,0.5445,2.3872,0.1175,0.1857,0.2409,0.1387
NewsCat,80341.0,41.0,1959.5366,1369.0,2298.1046,1.1728,3.6459,17.0043,17.0,7.0638,0.4154,3.2996,0.0177,0.0291,0.0386,0.1822
SuiDect,92829.0,2.0,46414.5,46414.5,71.5,0.0015,0.6931,58.6639,27.0,98.71,1.6826,4.9212,0.0435,0.0637,0.0803,0.1257
